image,label
images/img001-001.png,0
images/img001-002.png,0
images/img001-003.png,0
images/img001-004.png,0
images/img001-005.png,0
images/img001-006.png,0
images/img001-007.png,0
images/img001-008.png,0
images/img001-009.png,0
images/img001-010.png,0
images/img001-011.png,0
images/img001-012.png,0
images/img001-013.png,0
images/img001-014.png,0
images/img001-015.png,0
images/img001-016.png,0
images/img001-017.png,0
images/img001-018.png,0
images/img001-019.png,0
images/img001-020.png,0
images/img001-021.png,0
images/img001-022.png,0
images/img001-023.png,0
images/img001-024.png,0
images/img001-025.png,0
images/img001-026.png,0
images/img001-027.png,0
images/img001-028.png,0
images/img001-029.png,0
images/img001-030.png,0
images/img001-031.png,0
images/img001-032.png,0
images/img001-033.png,0
images/img001-034.png,0
images/img001-035.png,0
images/img001-036.png,0
images/img001-037.png,0
images/img001-038.png,0
images/img001-039.png,0
images/img001-040.png,0
images/img001-041.png,0
images/img001-042.png,0
images/img001-043.png,0
images/img001-044.png,0
images/img001-045.png,0
images/img001-046.png,0
images/img001-047.png,0
images/img001-048.png,0
images/img001-049.png,0
images/img001-050.png,0
images/img001-051.png,0
images/img001-052.png,0
images/img001-053.png,0
images/img001-054.png,0
images/img001-055.png,0
images/img002-001.png,1
images/img002-002.png,1
images/img002-003.png,1
images/img002-004.png,1
images/img002-005.png,1
images/img002-006.png,1
images/img002-007.png,1
images/img002-008.png,1
images/img002-009.png,1
images/img002-010.png,1
images/img002-011.png,1
images/img002-012.png,1
images/img002-013.png,1
images/img002-014.png,1
images/img002-015.png,1
images/img002-016.png,1
images/img002-017.png,1
images/img002-018.png,1
images/img002-019.png,1
images/img002-020.png,1
images/img002-021.png,1
images/img002-022.png,1
images/img002-023.png,1
images/img002-024.png,1
images/img002-025.png,1
images/img002-026.png,1
images/img002-027.png,1
images/img002-028.png,1
images/img002-029.png,1
images/img002-030.png,1
images/img002-031.png,1
images/img002-032.png,1
images/img002-033.png,1
images/img002-034.png,1
images/img002-035.png,1
images/img002-036.png,1
images/img002-037.png,1
images/img002-038.png,1
images/img002-039.png,1
images/img002-040.png,1
images/img002-041.png,1
images/img002-042.png,1
images/img002-043.png,1
images/img002-044.png,1
images/img002-045.png,1
images/img002-046.png,1
images/img002-047.png,1
images/img002-048.png,1
images/img002-049.png,1
images/img002-050.png,1
images/img002-051.png,1
images/img002-052.png,1
images/img002-053.png,1
images/img002-054.png,1
images/img002-055.png,1
images/img003-001.png,2
images/img003-002.png,2
images/img003-003.png,2
images/img003-004.png,2
images/img003-005.png,2
images/img003-006.png,2
images/img003-007.png,2
images/img003-008.png,2
images/img003-009.png,2
images/img003-010.png,2
images/img003-011.png,2
images/img003-012.png,2
images/img003-013.png,2
images/img003-014.png,2
images/img003-015.png,2
images/img003-016.png,2
images/img003-017.png,2
images/img003-018.png,2
images/img003-019.png,2
images/img003-020.png,2
images/img003-021.png,2
images/img003-022.png,2
images/img003-023.png,2
images/img003-024.png,2
images/img003-025.png,2
images/img003-026.png,2
images/img003-027.png,2
images/img003-028.png,2
images/img003-029.png,2
images/img003-030.png,2
images/img003-031.png,2
images/img003-032.png,2
images/img003-033.png,2
images/img003-034.png,2
images/img003-035.png,2
images/img003-036.png,2
images/img003-037.png,2
images/img003-038.png,2
images/img003-039.png,2
images/img003-040.png,2
images/img003-041.png,2
images/img003-042.png,2
images/img003-043.png,2
images/img003-044.png,2
images/img003-045.png,2
images/img003-046.png,2
images/img003-047.png,2
images/img003-048.png,2
images/img003-049.png,2
images/img003-050.png,2
images/img003-051.png,2
images/img003-052.png,2
images/img003-053.png,2
images/img003-054.png,2
images/img003-055.png,2
images/img004-001.png,3
images/img004-002.png,3
images/img004-003.png,3
images/img004-004.png,3
images/img004-005.png,3
images/img004-006.png,3
images/img004-007.png,3
images/img004-008.png,3
images/img004-009.png,3
images/img004-010.png,3
images/img004-011.png,3
images/img004-012.png,3
images/img004-013.png,3
images/img004-014.png,3
images/img004-015.png,3
images/img004-016.png,3
images/img004-017.png,3
images/img004-018.png,3
images/img004-019.png,3
images/img004-020.png,3
images/img004-021.png,3
images/img004-022.png,3
images/img004-023.png,3
images/img004-024.png,3
images/img004-025.png,3
images/img004-026.png,3
images/img004-027.png,3
images/img004-028.png,3
images/img004-029.png,3
images/img004-030.png,3
images/img004-031.png,3
images/img004-032.png,3
images/img004-033.png,3
images/img004-034.png,3
images/img004-035.png,3
images/img004-036.png,3
images/img004-037.png,3
images/img004-038.png,3
images/img004-039.png,3
images/img004-040.png,3
images/img004-041.png,3
images/img004-042.png,3
images/img004-043.png,3
images/img004-044.png,3
images/img004-045.png,3
images/img004-046.png,3
images/img004-047.png,3
images/img004-048.png,3
images/img004-049.png,3
images/img004-050.png,3
images/img004-051.png,3
images/img004-052.png,3
images/img004-053.png,3
images/img004-054.png,3
images/img004-055.png,3
images/img005-001.png,4
images/img005-002.png,4
images/img005-003.png,4
images/img005-004.png,4
images/img005-005.png,4
images/img005-006.png,4
images/img005-007.png,4
images/img005-008.png,4
images/img005-009.png,4
images/img005-010.png,4
images/img005-011.png,4
images/img005-012.png,4
images/img005-013.png,4
images/img005-014.png,4
images/img005-015.png,4
images/img005-016.png,4
images/img005-017.png,4
images/img005-018.png,4
images/img005-019.png,4
images/img005-020.png,4
images/img005-021.png,4
images/img005-022.png,4
images/img005-023.png,4
images/img005-024.png,4
images/img005-025.png,4
images/img005-026.png,4
images/img005-027.png,4
images/img005-028.png,4
images/img005-029.png,4
images/img005-030.png,4
images/img005-031.png,4
images/img005-032.png,4
images/img005-033.png,4
images/img005-034.png,4
images/img005-035.png,4
images/img005-036.png,4
images/img005-037.png,4
images/img005-038.png,4
images/img005-039.png,4
images/img005-040.png,4
images/img005-041.png,4
images/img005-042.png,4
images/img005-043.png,4
images/img005-044.png,4
images/img005-045.png,4
images/img005-046.png,4
images/img005-047.png,4
images/img005-048.png,4
images/img005-049.png,4
images/img005-050.png,4
images/img005-051.png,4
images/img005-052.png,4
images/img005-053.png,4
images/img005-054.png,4
images/img005-055.png,4
images/img006-001.png,5
images/img006-002.png,5
images/img006-003.png,5
images/img006-004.png,5
images/img006-005.png,5
images/img006-006.png,5
images/img006-007.png,5
images/img006-008.png,5
images/img006-009.png,5
images/img006-010.png,5
images/img006-011.png,5
images/img006-012.png,5
images/img006-013.png,5
images/img006-014.png,5
images/img006-015.png,5
images/img006-016.png,5
images/img006-017.png,5
images/img006-018.png,5
images/img006-019.png,5
